1 Iztočnica,Pojavna oblika,Spletna stran,
Adlešiči,Adlešičih,https://okupacijskemeje.si/exh04-ch02.html,
Adlešiči,Adlešiči,https://okupacijskemeje.si/exh04-en-ch02.html,
Adlešiči,Adlešiče,https://okupacijskemeje.si/exh04-ch07.html,
Adlešiči,Adlešičev,https://okupacijskemeje.si/exh04-ch07.html,
Adlešiči,Adlešiče,https://okupacijskemeje.si/exh04-ch08.html,
Adriatic Sea,Adriatic,https://okupacijskemeje.si/en-exh05-ch08.html,
Ajdovščina,Ajdovščini,https://okupacijskemeje.si/exh03-ch02.html,
Alpe,Alpski zid,https://okupacijskemeje.si/exh03-ch04.html,
Anglija,Angleži,https://okupacijskemeje.si/exh04-ch07.html,
Auschwitz,Auschwitz,https://okupacijskemeje.si/exh01-ch03.html,
Auschwitz,Auschwitzu,https://okupacijskemeje.si/exh01-ch10.html,
Auschwitz,Auschwitz,https://okupacijskemeje.si/exh02-ch03.html,
Austria,Austrian,https://okupacijskemeje.si/en-exh05-ch08.html,
Austria,Austria,https://okupacijskemeje.si/en-exh02-ch04.html,
Austria,Austria,https://okupacijskemeje.si/en-exh02-ch03.html,
Avstrija,avstrijske,https://okupacijskemeje.si/exh05-ch08.html,
Avstrija,Avstrije,https://okupacijskemeje.si/exh01-ch10.html,
Avstrija,avstrijsko,https://okupacijskemeje.si/exh01-ch12.html,
Avstrija,avstrijski,https://okupacijskemeje.si/exh01-ch12.html,
Avstrija,Avstrijo,https://okupacijskemeje.si/exh01-ch12.html,
Avstrija,Avstrijo,https://okupacijskemeje.si/exh01-ch12.html,
Avstrija,Avstrije,https://okupacijskemeje.si/exh02-ch04.html,
Avstrija,Avstriji,https://okupacijskemeje.si/exh02-ch03.html,
Avstro-Ogrska,Avstro-Ogrske,https://okupacijskemeje.si/exh01-ch02.html,
Avstro-Ogrska,cesarstva,https://okupacijskemeje.si/exh01-ch12.html,
Babna Gorica,Babna Gorica,https://okupacijskemeje.si/exh05-ch08.html,
Babna Gorica,Babna Gorica,https://okupacijskemeje.si/en-exh05-ch08.html,
Balkan,Balkana,https://okupacijskemeje.si/exh04-ch07.html,
Balkan Peninsula,Balkan Peninsula,https://okupacijskemeje.si/exh04-en-ch02.html,
Balkanski polotok,Balkanskega polotoka,https://okupacijskemeje.si/exh04-ch02.html,
Balkovci,Balkovci,https://okupacijskemeje.si/exh04-ch08.html,
Balkovci,Balkovce,https://okupacijskemeje.si/exh04-ch08.html,
Balkovci,Balkovcih,https://okupacijskemeje.si/exh04-ch08.html,
Banovina Hrvaška,Banovino Hrvaško,https://okupacijskemeje.si/exh01-ch07.html,
Bari,Bari,https://okupacijskemeje.si/exh04-ch07.html,
Bari,Bariju,https://okupacijskemeje.si/exh04-ch07.html,
Bela krajina,Belo krajino,https://okupacijskemeje.si/exh01-ch01.html,
Bela krajina,belokranjski,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Belo krajino,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Bele krajine,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Belo krajino,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-ch01.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh01-ch06.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh01-ch06.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh01-ch06.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh01-ch06.html,
Bela krajina,Belo krajino,https://okupacijskemeje.si/exh01-ch06.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch02.html,
Bela krajina,Belo krajino,https://okupacijskemeje.si/exh04-ch02.html,
Bela krajina,belokranjski,https://okupacijskemeje.si/exh04-ch02.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch02.html,
Bela krajina,belokrajinski,https://okupacijskemeje.si/exh04-ch02.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch02.html,
Bela krajina,belokrajinske,https://okupacijskemeje.si/exh04-ch03.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch03.html,
Bela krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch03.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch01.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch02.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch02.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch02.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch02.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch02.html,
Bela krajina,Bela krajina,https://okupacijskemeje.si/exh04-en-ch02.html,
Bela krajina,Bela krajina,,
Bela krajina,Bela krajina,,
Bela krajina,Beli krajini,,
Bela Krajina,Beli krajini,https://okupacijskemeje.si/exh04-ch05.html,
Bela Krajina,Bela krajina,https://okupacijskemeje.si/exh04-ch07.html,
Bela Krajina,Bele krajine,https://okupacijskemeje.si/exh04-ch07.html,
Belgija,Belgije,https://okupacijskemeje.si/exh03-ch09.html,
Belgija,Belgiji,https://okupacijskemeje.si/exh02-ch03.html,
Belgium,Belgium,https://okupacijskemeje.si/en-exh03-ch09.html,
Belgium,Belgium,https://okupacijskemeje.si/en-exh02-ch03.html,
Beltinci,Beltincih,https://okupacijskemeje.si/exh01-ch10.html,
Benica,Benice,https://okupacijskemeje.si/exh01-ch10.html,
Bereča vas,Bereče vasi,https://okupacijskemeje.si/exh04-ch07.html,
Berlin,Berlinu,https://okupacijskemeje.si/exh02-ch03.html,
Berlin,Berlin,https://okupacijskemeje.si/en-exh02-ch03.html,
Bevke,Bevke,https://okupacijskemeje.si/exh05-ch08.html,
Bevke,Bevke,https://okupacijskemeje.si/en-exh05-ch08.html,
Bevki,Bevki,https://okupacijskemeje.si/exh01-ch11.html,
Biška gora,Biška gora,https://okupacijskemeje.si/exh01-ch11.html,
Bled,Bledu,https://okupacijskemeje.si/exh01-ch02.html,
Bled,Veldes,https://okupacijskemeje.si/exh03-ch08.html,
Blegoš,Blegoš,https://okupacijskemeje.si/exh01-ch11.html,
Bohinjsko jezero,Wocheiner- Feistritz,https://okupacijskemeje.si/exh03-ch08.html,
Bojanci,Bojancih,https://okupacijskemeje.si/exh04-ch06.html,
Bojanci,Bojancev,https://okupacijskemeje.si/exh04-ch06.html,
Bojanja vas,Bojanja vas,https://okupacijskemeje.si/exh04-ch06.html,
Bojanja vas,Bojanje vasi,https://okupacijskemeje.si/exh04-ch06.html,
Bojanja vas,Bojanjo vas,https://okupacijskemeje.si/exh04-ch06.html,
Borovnica,Borovnico,https://okupacijskemeje.si/exh05-ch08.html,
Borovnica,Borovnica,https://okupacijskemeje.si/en-exh05-ch08.html,
Božakovo,Božakovem,https://okupacijskemeje.si/exh04-ch01.html,
Božakovo,Božakovem,https://okupacijskemeje.si/exh01-ch06.html,
Božakovo,Božakovega,https://okupacijskemeje.si/exh04-ch03.html,
Božakovo,Božakovo,https://okupacijskemeje.si/exh04-en-ch01.html,
Božakovo,Božakovo,,
Breg,Brega,https://okupacijskemeje.si/exh04-ch05.html,
Bregana,Bregane,https://okupacijskemeje.si/exh02-ch04.html,
Bregansko selo,Bregansko selo,https://okupacijskemeje.si/exh01-ch02.html,
Brekovice,Brekovice,https://okupacijskemeje.si/exh01-ch11.html,
Brekovice,Brekovicam,https://okupacijskemeje.si/exh03-ch04.html,
Brekovice,brekovicah,https://okupacijskemeje.si/exh03-ch05.html,
Breznica,Breznici,https://okupacijskemeje.si/exh03-ch04.html,
Brezno,Brezno,https://okupacijskemeje.si/exh02-ch04.html,
Brezno,Brezno,https://okupacijskemeje.si/exh02-ch04.html,
Brezno,Brezno,https://okupacijskemeje.si/en-exh02-ch04.html,
Brezno,Brezno,https://okupacijskemeje.si/en-exh02-ch04.html,
Brezovica,Brezovico,https://okupacijskemeje.si/exh04-ch06.html,
Brezovica,Brezovici,https://okupacijskemeje.si/exh04-ch06.html,
Brezovica,Brezovice,https://okupacijskemeje.si/exh04-ch06.html,
Brežice,Brežice,https://okupacijskemeje.si/exh04-en-ch01.html,
Brežice,Brežice,https://okupacijskemeje.si/exh04-ch01.html,
Brežice,Brežic,https://okupacijskemeje.si/exh01-ch07.html,
Brežice,Brežice,https://okupacijskemeje.si/exh01-ch12.html,
Brežice,Brežicah,https://okupacijskemeje.si/exh02-ch02.html,
Brežice,Brežicam,https://okupacijskemeje.si/exh02-ch02.html,
Brežice,brežiški občini,https://okupacijskemeje.si/exh01-ch12.html,
Brv pod Gadovo Pečjo,Brvi pod Gadovo Pečjo,https://okupacijskemeje.si/exh01-ch12.html,
Bučka,Bučke,https://okupacijskemeje.si/exh01-ch07.html,
Bučka,Bučko,https://okupacijskemeje.si/exh01-ch07.html,
Bušeča vas,Bušeči vasi,https://okupacijskemeje.si/exh01-ch07.html,
Bušinja vas,Bušinje vasi,https://okupacijskemeje.si/exh04-ch05.html,
Butajnova,Butajnovo,https://okupacijskemeje.si/exh01-ch11.html,
Celje,Celje,https://okupacijskemeje.si/exh01-ch12.html,
Celje,Celju,https://okupacijskemeje.si/exh02-ch02.html,
Celje,Celja,https://okupacijskemeje.si/exh04-ch05.html,
Celje,celjskem,https://okupacijskemeje.si/exh02-ch03.html,
Celovec,Celovec,https://okupacijskemeje.si/exh01-ch02.html,
Cerklje,Cerkljanskem,https://okupacijskemeje.si/exh03-ch01.html#exh03-ch01-subch01,
Cerklje,Cerkljanskem,https://okupacijskemeje.si/exh03-ch03.html,
Cerklje,Cerkljanskem,https://okupacijskemeje.si/exh03-ch03.html,
Cerklje,cerkljanskega,https://okupacijskemeje.si/exh03-ch06.html,
Cerklje ,Cerkljanskega,https://okupacijskemeje.si/exh03-ch02.html,
Cerkno,Cerknim,https://okupacijskemeje.si/exh03-ch01.html#exh03-ch01-subch01,
Cerovec,Cerovcu,https://okupacijskemeje.si/exh02-ch02.html,
Croatia,Croatia,https://okupacijskemeje.si/en-exh02-ch04.html,
Croatia,NDH,https://okupacijskemeje.si/en-exh02-ch04.html,
Croatia,NDH,https://okupacijskemeje.si/en-exh02-ch04.html,
Croatia,Croatia,https://okupacijskemeje.si/en-exh02-ch04.html,
