1 Iztočnica,1 Pojavna oblika,Spletna stran,
Adam Tončka,Tončka Adam,https://okupacijskemeje.si/exh04-ch07.html,
Adlešič Katica,Katica Adlešič,https://okupacijskemeje.si/exh04-ch07.html,
Ajlec Kornelija,Kornelija Ajlec,https://okupacijskemeje.si/exh01-ch12.html,
Ajlec Kornelija,Kornelija Ajlec,https://okupacijskemeje.si/exh01-ch12.html,
Balantič Ana,Balantič,https://okupacijskemeje.si/exh03-ch09.html,
Balantič Ana,Balantič,https://okupacijskemeje.si/en-exh03-ch09.html,
Balkovec Bojan,Bojan Balkovec,https://okupacijskemeje.si/exh01-ch03.html,
Balkovec Bojan,Bojan Balkovec,https://okupacijskemeje.si/exh01-ch03.html,
Balkovec Bojan,Bojan Balkovec,https://okupacijskemeje.si/exh04-ch01.html,
Balkovec Bojan,Bojan Balkovec,https://okupacijskemeje.si/exh01-ch07.html,
Balkovec Bojan,Bojan Balkovec,https://okupacijskemeje.si/exh01-ch11.html,
Belcer Anton,Anton Belcer,https://okupacijskemeje.si/exh02-ch03.html,
Belcer Anton,Anton,https://okupacijskemeje.si/exh02-ch03.html,
Beričič Marjan,Marjan Beričič,https://okupacijskemeje.si/exh03-ch02.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-ch01.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-ch01.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-ch04.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh01-ch07.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-en-ch01.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-en-ch01.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-ch05.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-ch06.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh04-ch07.html,
Bezenšek Sonja,Sonja Bezenšek,https://okupacijskemeje.si/exh01-ch07.html,
Blažič Ivan,Blažič Ivan,https://okupacijskemeje.si/exh03-ch08.html,
Blažič Ivan,Blažič Ivan,https://okupacijskemeje.si/en-exh03-ch08.html,
Bodjaveršek Albin,Bodjaveršek Albin,https://okupacijskemeje.si/exh02-ch03.html,
Bogdanovič Gabre,Gabre Bogdanovič,https://okupacijskemeje.si/exh01-ch07.html,
Bogdanović Gabre,Gabre Bogdanović,https://okupacijskemeje.si/exh04-ch05.html,
Bračika Janko,Janka Bračike,,
Breg Valjavec Mateja,Mateja Breg Valjavec,https://okupacijskemeje.si/exh05-ch11.html,
Breg Valjavec Mateja,Mateja Breg Valjavec,https://okupacijskemeje.si/en-exh05-ch11.html,
Bresnica Franc,Franca Bresnica,https://okupacijskemeje.si/exh03-ch08.html,
Brežinšek Ludvik,Ludvik Brežinšek,https://okupacijskemeje.si/exh02-ch02.html,
Broz Josip - Tito,Josipa Broza Tita,https://okupacijskemeje.si/exh01-ch09.html,
"Broz Josip, Tito",Tito,https://okupacijskemeje.si/en-exh02-ch07.html,
"Broz Josip, Tito",Tito,https://okupacijskemeje.si/exh02-ch07.html,
Car Danica,Danica Car,https://okupacijskemeje.si/exh04-ch06.html,
Cassanego Emilio,Emiliu Cassanegu,https://okupacijskemeje.si/exh04-ch06.html,
Cassanego Emilio,Emilio Cassanego,https://okupacijskemeje.si/exh04-ch06.html,
Cepuder Alfons,Cepuder Alfons,https://okupacijskemeje.si/exh02-ch03.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/exh05-ch08.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/en-exh05-ch08.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/exh05-ch11.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/en-exh05-ch11.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/exh01-ch07.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/exh01-ch08.html,
Ciglič Rok,Rok Ciglič,https://okupacijskemeje.si/exh01-ch12.html,
Cuccu Giovanni,Giovanni Cuccu - Ivo,https://okupacijskemeje.si/exh04-ch06.html,
Cuccu Giovanni,Cuccu,https://okupacijskemeje.si/exh04-ch06.html,
Čadonič,Čadonič,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič,Markovi,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Franc,"Franc Čadonič pri osebi Franc Čadonič je potrebno paziti ker sta to dve osebi enakega imena in priimka, sta pa si tudi v sorodu.",https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Franc,Franc,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Franc,Franca,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Franc,Francu Čadoniču,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Frančiška,Frančiška Erdeljac,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Frančiška,Frančiške Erdeljac,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Frančiška,Birička,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Jože,Jožetom,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Jože,Jože Čadonič,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Jože,Jože,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Jože,Jožeta,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Jože,Jožetu Čadoniču,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Marija,Marija,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Marko,Marko Čadonič,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Marko,Marka Čadoniča,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič Marko,Marka,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič mlajši Franc,Franc Čadonič,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič mlajši Marko,Marko,https://okupacijskemeje.si/exh04-ch08.html,
Čadonič mlajši Marko,Marko Čadonič,https://okupacijskemeje.si/exh04-ch08.html,
Čemas Franc,Francu Čemasu,https://okupacijskemeje.si/exh04-ch08.html,
Čemas Franc,Franc Čemas,https://okupacijskemeje.si/exh04-ch08.html,
Čemas Ivan,Ivan,https://okupacijskemeje.si/exh04-ch08.html,
Čemas Jože,Jože Čemas,https://okupacijskemeje.si/exh04-ch08.html,
Čonč Regina,Regine Čonč,https://okupacijskemeje.si/exh02-ch02.html,
Čonč Vili,Vili Čonč,https://okupacijskemeje.si/exh02-ch02.html,
Čop Darka,Darinka (Darka) Šimec,https://okupacijskemeje.si/exh04-ch06.html,
Čop Darka,Darka Čop,https://okupacijskemeje.si/exh04-ch06.html,
Čop Darka,Darka,https://okupacijskemeje.si/exh04-ch06.html,
Dorfmeister Anton,Anton Dorfmeister,,
Drakulić Niko,Niko Drakulić,https://okupacijskemeje.si/exh04-ch06.html,
Drimel Marija,Marije Drimel,https://okupacijskemeje.si/exh02-ch03.html,
Driml Leon,Leona Drimla,https://okupacijskemeje.si/exh02-ch03.html,
Driml Maša,Maše,https://okupacijskemeje.si/exh02-ch03.html,
Drofenik Antonija,Antonije Drofenik,https://okupacijskemeje.si/exh02-ch02.html,
Eržen Aleksander,Aleksander Eržen,https://okupacijskemeje.si/exh03-ch08.html,
Eržen Aleksander,Aleksander Eržen,https://okupacijskemeje.si/en-exh03-ch08.html,
Eržen Bogomir,Bogomir Eržen,https://okupacijskemeje.si/exh03-ch08.html,
Eržen Bogomir,Bogomir Eržen,https://okupacijskemeje.si/en-exh03-ch08.html,
Eržen Danijel,Danijel (brat),https://okupacijskemeje.si/exh03-ch08.html,
Eržen Danijel,Danijel,https://okupacijskemeje.si/en-exh03-ch08.html,
Eržen Katarina,Katarina Eržen,https://okupacijskemeje.si/exh03-ch09.html,
Ferenc Tone,Ferenc T.,https://okupacijskemeje.si/exh04-ch01.html,
Ferjančič Miha,Miha Ferjančič,https://okupacijskemeje.si/exh03-ch09.html,
Ferjančič Miha,Miha Ferjančič,https://okupacijskemeje.si/en-exh03-ch09.html,
Ferjančič Miha,Miha Ferjančič,https://okupacijskemeje.si/exh03-ch02.html,
Ferjančič Miha,Miha Ferjančič,https://okupacijskemeje.si/exh03-ch03.html,
Filipič Jereb,Jereb Filipič,https://okupacijskemeje.si/en-exh03-ch09.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch06.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh03-ch02.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh05-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/en-exh05-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch03.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh03-ch08.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch03.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch03.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch04.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch09.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch09.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch11.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch11.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch11.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh01-ch12.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/en-exh03-ch08.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-en-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-en-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-en-ch01.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-en-ch03.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-en-ch03.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch05.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch06.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch07.html,
Flajšman Božidar,Božidar Flajšman,https://okupacijskemeje.si/exh04-ch08.html,
Flipič Jereb,Jereb Filipič,https://okupacijskemeje.si/exh03-ch09.html,
Gambara Gastone,G. Gambariju,https://okupacijskemeje.si/exh04-ch03.html,
Giuseppe Gueli,Giuseppeja Guelija,https://okupacijskemeje.si/exh03-ch01.html,
Goleš Janko (Janta),Janko (Janta) Goleš,https://okupacijskemeje.si/exh04-ch01.html,
Goleš Janko (Janta),Janko (Janta) Goleš,https://okupacijskemeje.si/exh04-en-ch01.html,
Goleš Janko (Janta),Janko Goleš,https://okupacijskemeje.si/exh04-en-ch01.html,
Göncz László,Göncz,https://okupacijskemeje.si/exh01-ch10.html,
Göncz László,Göncz,https://okupacijskemeje.si/en-exh01-ch10.html#figure-59-en,
Gračner Ivan ,Gračner ja Ivan,https://okupacijskemeje.si/exh02-ch03.html,
Halužan Mirko,"Halužan Mirko
",https://okupacijskemeje.si/exh02-ch07.html,
Halužan Mirko,"Halužan Mirko
",https://okupacijskemeje.si/en-exh02-ch07.html,
Hitler Adolf,Hitlerja,,
Hitler Adolf,Hitler,https://okupacijskemeje.si/exh01-ch01.html,
Hitler Adolf,Hitlerjevih,https://okupacijskemeje.si/exh01-ch01.html,
Hitler Adolf,Hitlerjevih,https://okupacijskemeje.si/exh03-ch07.html,
Hitler Adolf,Adolf Hitler,https://okupacijskemeje.si/exh01-ch01.html,
Hitler Adolf,Hitler,https://okupacijskemeje.si/exh01-ch01.html,
Hitler Adolf,Hitler,https://okupacijskemeje.si/exh01-ch07.html,
Hitler Adolf,Hitlerjevim,https://okupacijskemeje.si/exh02-ch02.html,
Hitler Adolf,Führer,https://okupacijskemeje.si/exh02-ch02.html,
Hitler Adolf,Hitlerjeve,https://okupacijskemeje.si/exh02-ch02.html,
Hitler Adolf,Hitler,https://okupacijskemeje.si/exh02-ch02.html,
Hitler Adolf,Hitler's,https://okupacijskemeje.si/en-exh03-ch07.html,
Ilič Zora,Zore Ilič,https://okupacijskemeje.si/exh02-ch02.html,
Ilijevski Borče,Borče Ilijevski,https://okupacijskemeje.si/exh01-ch11.html,
Jankovič Jože,Jože Jankovič,https://okupacijskemeje.si/exh01-ch07.html,
Jelenčič Marija,Marije Jelenčič,https://okupacijskemeje.si/exh04-ch01.html,
Jelenič Marija,Marija Jelenič,https://okupacijskemeje.si/exh04-en-ch01.html,
Jereb Janez,Janezu Jerebu,https://okupacijskemeje.si/exh03-ch07.html,
Jereb Janez,Janez Jereb,https://okupacijskemeje.si/en-exh03-ch07.html,
Jereb Mirko,Mirko Jereb,https://okupacijskemeje.si/exh03-ch09.html,
Jereb Mirko,Mirko Jereb,https://okupacijskemeje.si/en-exh03-ch09.html,
Jesenko Marija,Marija Jesenko,https://okupacijskemeje.si/exh03-ch09.html,
Jesenko Marija,Marija Jesenko,https://okupacijskemeje.si/en-exh03-ch09.html,
Josef Hočewa,Hočewa Josef,https://okupacijskemeje.si/exh02-ch03.html,tele štiri jaz ne najdem
Josef Munda,Munda Josef Dr.,https://okupacijskemeje.si/exh02-ch03.html,tele štiri jaz ne najdem
Josef Oreschnigg,Oreschnigg Josef ,https://okupacijskemeje.si/exh02-ch03.html,tele štiri jaz ne najdem
Josef Trofenik,Trofenik Josef,https://okupacijskemeje.si/exh02-ch03.html,tele štiri jaz ne najdem
Jug Feliks,Feliks Jug,https://okupacijskemeje.si/exh04-ch08.html,
Jug Feliks,Feliksa Juga,https://okupacijskemeje.si/exh04-ch08.html,
Jug Martina (Tinčika),Martina (Tinčika) Jug,https://okupacijskemeje.si/exh04-ch04.html,
Kamphoevener Kurt von,von Kamphoevener,https://okupacijskemeje.si/exh02-ch04.html,
